GENESIS-Tabelle: Temporär
Jahresrechnung: Ausgaben des kommunalen Haushaltes,;;;;;;;;;;;;;;;;;;;;;;
Gruppierungen, Gliederungen, Gemeinde,;;;;;;;;;;;;;;;;;;;;;;
Jahre, Gebietsstand 01.01.14;;;;;;;;;;;;;;;;;;;;;;
Rechnungsergebnisse der Gemeinden;;;;;;;;;;;;;;;;;;;;;;
Freistaat Sachsen;;;;;;;;;;;;;;;;;;;;;;
Gliederung: Gemeindeorgane;;;;;;;;;;;;;;;;;;;;;;
Ausgaben (EUR);;;;;;;;;;;;;;;;;;;;;;
;;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
GRJ840;        Inanspruchn. aus Bürgschaften u.Gewährverträgen;-;-;-;-;-;-;-;706;-;2493;-;-;3040;2207;2201;2519;1666;1533;22853;2067;-
GRJ841;        Sonstige Finanzausgaben;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ86;      Zuführung zum Vermögenshaushalt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ860;        Allgemeine Zuführung zum Vermögenshaushalt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ861;        Zuführung zu Sonderrücklagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ89;      Abwicklung der Vorjahre;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ892;        Deckung von Soll-Fehlbetr.d.Verwaltungshaushaltes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ998;  Ausgaben des Vermögenshaushalts;181053314;198824709;169296316;171542430;171173283;166221479;176084994;186974543;191703344;189672117;190282786;202856779;200045602;196110721;198567192;771615;1384425;666126;776049;163380;138864
GRJ9;    Ausgaben des Vermögenshaushalts;3344080;1645165;1747779;1417975;1780659;1194148;456502;1250975;697089;813205;667687;574895;433335;240041;412986;771615;1384425;666126;776049;163380;138864
GRJ90;      Zuführung zum Verwaltungshaushalt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ900;        Allgemeine Zuführung zum Verwaltungshaushalt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ901;        Entnahmen aus Sonderrücklagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ91;      Zuführungen an Rücklagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ910;        Zuführungen an allgemeine Rücklagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ911;        Zuführungen an Sonderrücklagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9111;          Zuf. aus Sonderrückl., auß. Vorsorgerückl.(ab 09);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9112;          Zuf. aus der Vorsorgerückl., allgem. Teil (ab 09);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9113;          Zuf. aus der Vors.rücklage, invest. Teil (ab 09);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ92;      Gewährung von Darlehen;511;2556;-;-;-;-;-;-;8896;-;-;-;-;-;45000;-;-;-;-;-;-
GRJ920;        Gewährung von Darlehen an Bund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ921;        Gewährung von Darlehen an Land;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ922;        Gewähr.v.Darlehen an Gemeinden u.Gemeindeverbände;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ923;        Gewähr.v.Darlehen an Zweckverbände und dergl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ924;        Gewähr.v.Darlehen an sonst.öffentlichen Bereich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ925;        Gewähr.v.Darlehen an kommunale Sonderrechnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ926;        Gewähr.v.Darlehen an sonst.öffentl.Sonderrechn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ927;        Gewährung von Darlehen an private Unternehmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ928;        Gewährung von Darlehen an übrige Bereiche;511;2556;-;-;-;-;-;-;8896;-;-;-;-;-;45000;-;-;-;-;-;-
GRJ93;      Vermögenserwerb;1316713;560776;774405;965791;556564;682786;348338;354841;249654;284074;301672;322577;185554;122176;166384;175864;417159;417408;283077;98799;36457
GRJ930;        Erwerb von Beteiligungen, Kapitalerwerb;-;9684;-;-;-;-;-;-;-;-;2100;45000;2034;86;-;-;-;-;-;-;-
GRJ932;        Erwerb von Grundstücken;419844;94703;158405;42175;5970;153279;38105;39875;4303;9521;-;-;-;-;-;-;-;-;-;-;-
GRJ933;        Leas.-,Leibr.zahl.-Zus.hang m.Grunderw.,Tilg.Sch.;-;6782;12286;7426;4641;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ935;        Erwerb von bewegl.Sachen des Anlagevermögens;895709;435455;580196;896961;530709;497582;287762;299444;231671;265890;290909;276950;183520;122090;164491;168838;408049;410268;280437;96141;33799
GRJ936;        Leas.zahl.-Zus.hang m.Erw.bew.Sachen d.Anl.verm.;1160;14152;23518;19229;15244;31925;22471;15522;13680;8663;8663;627;-;-;1893;7026;9110;7140;2640;2658;2658
GRJ94;      Baumaßnahmen (einschließlich der Gr. 95 und 96);2008900;1079322;929147;426866;848772;503897;79687;864471;435125;403927;335200;167478;47281;33865;115102;15349;20459;103318;56670;16011;6992
GRJ97;      Tilgung von Krediten, Rückzahlg. von inneren Darl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ97X1;        Tilgg.v.Kr.,Rückz.v.inn.Darl.-ordentl.Tilgung;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9701;          ordentliche Tilgung an Bund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9711;          ordentliche Tilgung an Land;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9721;          ordentl.Tilgung an Gemeinden u.Gemeindeverbände;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9731;          ordentliche Tilgung an Zweckverbände und dgl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9741;          ordentl.Tilgung an sonst.öffentlichen Bereich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9751;          ordentliche Tilgung an kommunale Sonderechnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9761;          ordentl.Tilgung an sonst.öffentl.Sonderrechn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9771;          ordentliche Tilgung an private Unternehmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9781;          ordentliche Tilgung an übrige Bereiche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9791;          ordentliche Tilgung - Innere Darlehen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ97X2;        Tilgg.v.Kr.,Rückz.Inn.Darl.-außerord.Tilg.(Umsch.);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9702;          außerordentliche Tilgung, Umschuldung an Bund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9712;          außerord.Tilg.(Umschuldung) an Land;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9722;          außerord.Tilg.(Umsch.) an Gemeinden und GV;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9732;          außerord.Tilg.(Umsch.) an Zweckverbände und dgl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9742;          außerord.Tilg.(Umsch.) an sonst.öffentl.Bereich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9752;          außerord.Tilg.(Umsch.) an komm.Sonderrechnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9762;          außerord.Tilg.(Umsch.) an sonst.öff.Sonderrechn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9772;          außerord.Tilg.(Umsch.) an private Unternehmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9782;          außerord.Tilg.(Umsch.) an übrige Bereiche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9792;          außerord.Tilg.(Umschuldung) - Innere Darlehen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ97X3;        Tilgg.v.Kr.,Rückz.Inn.Darl.-außerord.Ti.(o.Umsch.);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9703;          außerordentliche Tilgung (ohne Umschuldung)an Bund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9713;          außerord.Tilg.(ohne Umsch.) an Land;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9723;          außerord.Tilg.(ohne Umsch.) an Gemeinden und GV;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9733;          außerord.Tilg.(o.Umsch.) an Zweckverbände und dgl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9743;          außerord.Tilg.(o.Umsch.) an sonst.öffentl.Bereich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9753;          außerord.Tilg.(o.Umsch.) an komm.Sonderrechnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9763;          außerord.Tilg.(o.Umsch.) an sonst.öff.Sonderrechn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9773;          außerord.Tilg.(o.Umsch.) an private Unternehmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9783;          außerord.Tilg.(ohne Umsch.) an übrige Bereiche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ9793;          außerord.Tilg.(ohne Umsch.) - Innere Darlehen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ98;      Zuweisungen und Zuschüsse für Investitionen;17956;2511;44227;25318;375323;7465;28477;31663;3414;125204;30815;84840;200500;84000;86500;580402;946807;145400;436302;48570;95415
GRJ980;        Zuweisungen, Zuschüsse für Investitionen an Bund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ981;        Zuweisungen u.Zuschüsse für Investit. an Land;2601;2511;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433022;-;-;-;-
GRJ982;        Zuw.,Zusch.f.Invest.an Gemeinden u.Gem.verbände;-;-;2556;-;357904;-;-;-;-;-;-;-;-;-;-;-;180000;30000;90494;3337;-
GRJ983;        Zuw.,Zusch.f.Invest.an Zweckverbände und dgl.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ984;        Zuw.,Zusch.f.Invest.an sonst.öffentl.Bereich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ985;        Zuw.,Zusch.f.Invest.an komm.Sonderechnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5000;6400;53147;28353;-;-
GRJ986;        Zuw.,Zusch.f.Invest.an sonst.öff.Sonderrechn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22539;-;304000;-;-
GRJ987;        Zuw.,Zusch.f.Invest.an private Unternehmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ988;        Zuw.,Zusch.f.Invest.an übrige Bereiche;15355;-;41671;25318;17419;7465;28477;31663;3414;125204;30815;84840;200500;84000;86500;575402;304846;62253;13455;45233;95415
GRJ99;      Sonstige Ausgaben des Vermögenshaushalts;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ990;        Kreditbeschaffungskosten;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ991;        Ablösung von Dauerlasten;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ992;        Deckung von Soll-Fehlbetr.d.Vermögenshaushaltes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ993;        Sonstige Abführungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ997;        Abf.an Erblastentilg.fonds n.Altsch.hilfegesetz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
_____
1) Die Kreis- bzw. NUTS 2-Regionsssummen enthalten auch
   die Daten der Landkreise (Landkreishaushalte = LKH)
   und der Verwaltungsverbände.
   Das Ergebnis für Sachsen enthält darüber hinaus die
   Daten des Kommunalen Sozialverbandes Sachsen (ehemals
   Landeswohlfahrsverband).
2) Differenzen bei den Summen 299, 398, 399, 899, 998 und
   999 resultieren aus dem währungsbedingten
   Umrechnungsmodus.
_____
(C)opyright Statistisches Landesamt des Freistaates Sachsen 2015 -
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet
Stand: 21.02.2015 / 14:29:39
